2020-08-26 00:20:07：Timing：0.8211817741394043,Iterations：10,Size：10,Best solution: ['0', '2', '1', '9', '7', '6', '11', '14', '15', '12', '8', '10', '5', '3', '4', '22', '23', '21', '17', '20', '19', '18', '25', '26', '29', '24', '28', '13', '27', '16', '0'], with total distance: 13774.
2020-08-26 00:20:15：Timing：7.97435736656189,Iterations：100,Size：10,Best solution: ['0', '10', '12', '8', '9', '6', '14', '11', '15', '27', '16', '13', '5', '3', '4', '22', '28', '24', '23', '21', '29', '26', '25', '18', '19', '17', '20', '7', '1', '2', '0'], with total distance: 12170.
2020-08-26 00:20:23：Timing：0.9117214679718018,Iterations：10,Size：20,Best solution: ['0', '2', '1', '9', '7', '6', '11', '14', '15', '12', '8', '10', '5', '3', '4', '22', '23', '21', '17', '20', '19', '18', '25', '26', '29', '24', '28', '13', '27', '16', '0'], with total distance: 13774.
2020-08-26 00:20:29：Timing：0.8771994113922119,Iterations：10,Size：30,Best solution: ['0', '2', '1', '9', '7', '6', '11', '14', '15', '12', '8', '10', '5', '3', '4', '22', '23', '21', '17', '20', '19', '18', '25', '26', '29', '24', '28', '13', '27', '16', '0'], with total distance: 13774.
2020-08-26 00:20:32：Timing：8.968425512313843,Iterations：100,Size：20,Best solution: ['0', '1', '9', '7', '6', '11', '14', '15', '8', '12', '16', '27', '13', '10', '5', '3', '28', '24', '22', '23', '29', '26', '25', '18', '19', '20', '17', '21', '4', '2', '0'], with total distance: 12504.
2020-08-26 00:20:36：Timing：0.8976807594299316,Iterations：10,Size：40,Best solution: ['0', '2', '1', '9', '7', '6', '11', '14', '15', '12', '8', '10', '5', '3', '4', '22', '23', '21', '17', '20', '19', '18', '25', '26', '29', '24', '28', '13', '27', '16', '0'], with total distance: 13774.
2020-08-26 00:20:38：Timing：9.484954833984375,Iterations：100,Size：30,Best solution: ['0', '1', '2', '8', '9', '7', '6', '11', '14', '15', '27', '16', '12', '13', '10', '5', '3', '4', '17', '20', '19', '18', '25', '26', '29', '23', '24', '28', '22', '21', '0'], with total distance: 12184.
2020-08-26 00:20:43：Timing：0.9367177486419678,Iterations：10,Size：50,Best solution: ['0', '2', '1', '9', '7', '6', '11', '14', '15', '12', '8', '10', '5', '3', '4', '22', '23', '21', '17', '20', '19', '18', '25', '26', '29', '24', '28', '13', '27', '16', '0'], with total distance: 13774.
2020-08-26 00:20:46：Timing：9.642839908599854,Iterations：100,Size：40,Best solution: ['0', '1', '2', '8', '9', '7', '6', '11', '14', '15', '27', '16', '12', '13', '10', '5', '3', '4', '17', '20', '18', '19', '25', '26', '29', '23', '24', '28', '22', '21', '0'], with total distance: 12287.
2020-08-26 00:20:50：Timing：0.971534013748169,Iterations：10,Size：100,Best solution: ['0', '2', '1', '9', '7', '6', '11', '14', '15', '12', '8', '10', '5', '3', '4', '22', '23', '21', '17', '20', '19', '18', '25', '26', '29', '24', '28', '13', '27', '16', '0'], with total distance: 13774.
2020-08-26 00:20:54：Timing：10.136032342910767,Iterations：100,Size：50,Best solution: ['0', '1', '2', '8', '9', '7', '6', '11', '14', '15', '27', '16', '12', '13', '10', '5', '3', '4', '17', '20', '18', '19', '25', '26', '29', '23', '24', '28', '22', '21', '0'], with total distance: 12287.
2020-08-26 00:21:00：Timing：9.966915607452393,Iterations：100,Size：100,Best solution: ['0', '1', '2', '8', '9', '7', '6', '11', '14', '15', '27', '16', '12', '13', '10', '5', '3', '4', '17', '20', '18', '19', '25', '26', '29', '23', '24', '28', '22', '21', '0'], with total distance: 12287.
2020-08-26 00:21:52：Timing：96.99077010154724,Iterations：1000,Size：10,Best solution: ['0', '2', '12', '8', '6', '11', '14', '15', '27', '16', '13', '10', '5', '3', '4', '22', '28', '24', '23', '21', '29', '26', '25', '18', '19', '17', '20', '7', '9', '1', '0'], with total distance: 11849.
2020-08-26 00:22:11：Timing：98.69866156578064,Iterations：1000,Size：20,Best solution: ['0', '1', '9', '7', '6', '14', '11', '8', '12', '15', '27', '16', '13', '10', '5', '3', '4', '22', '28', '24', '23', '21', '29', '26', '25', '18', '19', '20', '17', '2', '0'], with total distance: 11705.
2020-08-26 00:22:18：Timing：99.92708325386047,Iterations：1000,Size：30,Best solution: ['0', '1', '2', '8', '12', '10', '13', '16', '27', '15', '11', '14', '6', '9', '7', '20', '18', '25', '26', '29', '19', '17', '21', '23', '24', '28', '22', '4', '3', '5', '0'], with total distance: 11874.
2020-08-26 00:22:26：Timing：99.57466292381287,Iterations：1000,Size：40,Best solution: ['0', '5', '10', '13', '16', '27', '15', '12', '8', '11', '14', '6', '9', '7', '1', '2', '17', '20', '19', '18', '25', '26', '29', '21', '23', '24', '28', '22', '4', '3', '0'], with total distance: 12011.
2020-08-26 00:22:33：Timing：99.68296933174133,Iterations：1000,Size：50,Best solution: ['0', '2', '1', '9', '7', '6', '11', '14', '15', '27', '16', '13', '8', '12', '10', '5', '17', '20', '19', '18', '25', '26', '29', '21', '23', '24', '28', '22', '4', '3', '0'], with total distance: 12132.
2020-08-26 00:22:39：Timing：98.75865387916565,Iterations：1000,Size：100,Best solution: ['0', '1', '2', '8', '9', '7', '6', '11', '14', '15', '27', '16', '12', '13', '10', '5', '3', '4', '17', '20', '18', '19', '25', '26', '29', '23', '24', '28', '22', '21', '0'], with total distance: 12287.
